Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,106.90241205663177,2021,3,17,2021-03,1
2021-03-18,107.02215277264911,2021,3,18,2021-03,1
2021-03-19,107.27290490972354,2021,3,19,2021-03,1
2021-03-20,108.37648614280559,2021,3,20,2021-03,1
2021-03-21,111.25601700263779,2021,3,21,2021-03,1
2021-03-22,106.38012340923595,2021,3,22,2021-03,1
2021-03-23,104.51624766670224,2021,3,23,2021-03,1
2021-03-24,105.50182703091797,2021,3,24,2021-03,1
2021-03-25,106.06786772248786,2021,3,25,2021-03,1
2021-03-26,106.16984105214208,2021,3,26,2021-03,1
2021-03-27,106.30080378421638,2021,3,27,2021-03,1
2021-03-28,109.2763643700537,2021,3,28,2021-03,1
2021-03-29,106.08782118070842,2021,3,29,2021-03,1
2021-03-30,105.99235732073103,2021,3,30,2021-03,1
2021-03-31,105.58599378347144,2021,3,31,2021-03,1
2021-04-01,105.2476346894679,2021,4,1,2021-04,2
2021-04-02,105.15900211720445,2021,4,2,2021-04,2
2021-04-03,105.5498598717636,2021,4,3,2021-04,2
2021-04-04,107.48565133039276,2021,4,4,2021-04,2
2021-04-05,104.95152139389221,2021,4,5,2021-04,2
2021-04-06,104.11329661703375,2021,4,6,2021-04,2
2021-04-07,105.12972969925194,2021,4,7,2021-04,2
2021-04-08,105.9833629753286,2021,4,8,2021-04,2
2021-04-09,104.98038814336914,2021,4,9,2021-04,2
2021-04-10,105.13039547778092,2021,4,10,2021-04,2
2021-04-11,105.75687567493671,2021,4,11,2021-04,2
2021-04-12,106.1777327308905,2021,4,12,2021-04,2
2021-04-13,106.97394626961952,2021,4,13,2021-04,2
2021-04-14,106.91773513940524,2021,4,14,2021-04,2
2021-04-15,104.8439122344597,2021,4,15,2021-04,2
2021-04-16,105.45711312116957,2021,4,16,2021-04,2
2021-04-17,106.98457690595319,2021,4,17,2021-04,2
2021-04-18,105.20457315585769,2021,4,18,2021-04,2
2021-04-19,104.72073153955532,2021,4,19,2021-04,2
2021-04-20,105.35772872281532,2021,4,20,2021-04,2
2021-04-21,105.35447032611809,2021,4,21,2021-04,2
2021-04-22,105.73923051814266,2021,4,22,2021-04,2
2021-04-23,105.97618923381808,2021,4,23,2021-04,2
2021-04-24,106.32571761406584,2021,4,24,2021-04,2
2021-04-25,107.08925798403192,2021,4,25,2021-04,2
2021-04-26,106.334183667855,2021,4,26,2021-04,2
2021-04-27,106.58732519055937,2021,4,27,2021-04,2
2021-04-28,107.7566716759636,2021,4,28,2021-04,2
2021-04-29,107.12183199309061,2021,4,29,2021-04,2
2021-04-30,104.28368452830226,2021,4,30,2021-04,2
2021-05-01,105.16984186869394,2021,5,1,2021-05,3
2021-05-02,105.19876573850189,2021,5,2,2021-05,3
2021-05-03,103.37619188295531,2021,5,3,2021-05,3
2021-05-04,104.07024119861153,2021,5,4,2021-05,3
2021-05-05,106.14265904049775,2021,5,5,2021-05,3
2021-05-06,104.60372833128187,2021,5,6,2021-05,3
2021-05-07,105.70927007038223,2021,5,7,2021-05,3
2021-05-08,106.01932854611037,2021,5,8,2021-05,3
2021-05-09,106.74826427475527,2021,5,9,2021-05,3
2021-05-10,106.26098269277985,2021,5,10,2021-05,3
2021-05-11,106.25656873724992,2021,5,11,2021-05,3
2021-05-12,106.50985999144785,2021,5,12,2021-05,3
2021-05-13,106.63854846769998,2021,5,13,2021-05,3
2021-05-14,107.22579207895882,2021,5,14,2021-05,3
2021-05-15,107.3068143927111,2021,5,15,2021-05,3
2021-05-16,107.62517122912465,2021,5,16,2021-05,3
2021-05-17,109.17807628445969,2021,5,17,2021-05,3
2021-05-18,107.55201137682693,2021,5,18,2021-05,3
2021-05-19,105.07554824300898,2021,5,19,2021-05,3
2021-05-20,104.97449819309381,2021,5,20,2021-05,3
2021-05-21,105.25320944583494,2021,5,21,2021-05,3
2021-05-22,105.49835400718605,2021,5,22,2021-05,3
2021-05-23,102.52532442596814,2021,5,23,2021-05,3
2021-05-24,103.6722735056344,2021,5,24,2021-05,3
2021-05-25,105.55839868465105,2021,5,25,2021-05,3
2021-05-26,103.44513577484965,2021,5,26,2021-05,3
2021-05-27,105.95402522136365,2021,5,27,2021-05,3
2021-05-28,103.3994784413368,2021,5,28,2021-05,3
2021-05-29,104.36130212249374,2021,5,29,2021-05,3
2021-05-30,104.60517759412163,2021,5,30,2021-05,3
2021-05-31,105.53021844482414,2021,5,31,2021-05,3
2021-06-01,104.95704732849708,2021,6,1,2021-06,4
2021-06-02,105.44701995890576,2021,6,2,2021-06,4
2021-06-03,105.83349904742715,2021,6,3,2021-06,4
2021-06-04,107.72818568360586,2021,6,4,2021-06,4
2021-06-05,103.07030311471763,2021,6,5,2021-06,4
2021-06-06,103.99705798762182,2021,6,6,2021-06,4
2021-06-07,104.83425671605976,2021,6,7,2021-06,4
2021-06-08,105.11342176935733,2021,6,8,2021-06,4
2021-06-09,105.05877441871651,2021,6,9,2021-06,4
2021-06-10,105.64668089400323,2021,6,10,2021-06,4
2021-06-11,105.81256793217712,2021,6,11,2021-06,4
2021-06-12,106.07209931552421,2021,6,12,2021-06,4
2021-06-13,107.37416091433536,2021,6,13,2021-06,4
2021-06-14,106.42212867715148,2021,6,14,2021-06,4
2021-06-15,106.8337888884666,2021,6,15,2021-06,4
2021-06-16,107.18778983226628,2021,6,16,2021-06,4
2021-06-17,105.30296997022249,2021,6,17,2021-06,4
2021-06-18,106.31290764749741,2021,6,18,2021-06,4
2021-06-19,107.1868242287214,2021,6,19,2021-06,4
2021-06-20,104.07880362568218,2021,6,20,2021-06,4
2021-06-21,104.88725257458377,2021,6,21,2021-06,4
2021-06-22,105.66691563620427,2021,6,22,2021-06,4
2021-06-23,105.18541033502946,2021,6,23,2021-06,4
2021-06-24,104.89073838604106,2021,6,24,2021-06,4
2021-06-25,104.0506451290782,2021,6,25,2021-06,4
2021-06-26,104.64503537940405,2021,6,26,2021-06,4
2021-06-27,105.08111708824883,2021,6,27,2021-06,4
2021-06-28,105.50487884114106,2021,6,28,2021-06,4
2021-06-29,104.29972342560636,2021,6,29,2021-06,4
2021-06-30,103.09008405109759,2021,6,30,2021-06,4
2021-07-01,103.92314752945829,2021,7,1,2021-07,5
2021-07-02,103.51895336743671,2021,7,2,2021-07,5
2021-07-03,102.95148986133108,2021,7,3,2021-07,5
2021-07-04,103.38279556238264,2021,7,4,2021-07,5
2021-07-05,104.22055330934305,2021,7,5,2021-07,5
2021-07-06,103.77894455222706,2021,7,6,2021-07,5
2021-07-07,104.87808873413168,2021,7,7,2021-07,5
